usuario,contiene,formato,idioma,largura_libro,clasificacion_edad,compone_saga,famoso,peso,tipo_narrador,libro,valoracion,timestep
0,misterio,papel,spa,largo,juvenil,si,no,pesado,tercera_persona,303.0,5,0
0,suspense,papel,spa,normal,juvenil,si,no,ligero,tercera_persona,383.0,4,0
0,terror,papel,spa,normal,juvenil,no,si,ligero,tercera_persona,174.0,4,3
0,suspense,papel,cat,corto,juvenil,no,si,ligero,tercera_persona,57.0,4,3
0,magia,papel,cat,normal,juvenil,si,si,ligero,primera_persona,0.0,3,34
0,terror,papel,spa,largo,infantil,si,no,ligero,tercera_persona,196.0,3,37
0,misterio,papel,spa,corto,juvenil,si,no,ligero,primera_persona,336.0,4,37
0,romance,papel,spa,largo,juvenil,si,si,intermedio,tercera_persona,372.0,3,43
0,romance,papel,spa,corto,infantil,no,si,pesado,tercera_persona,348.0,3,57
0,magia,papel,spa,normal,adulto,no,si,ligero,primera_persona,284.0,4,57
0,suspense,papel,spa,normal,juvenil,no,si,intermedio,primera_persona,35.0,3,57
1,fantasia,ebook,eng,corto,juvenil,no,si,ligero,tercera_persona,57.0,4,0
1,romance,papel,spa,normal,adulto,no,no,intermedio,tercera_persona,171.0,4,0
1,humor,ebook,spa,largo,adulto,no,no,ligero,primera_persona,242.0,4,0
1,ciencia_ficcion,ebook,eng,normal,infantil,si,no,ligero,primera_persona,386.0,3,0
1,ficcion_historica,ebook,cat,normal,juvenil,si,si,intermedio,tercera_persona,78.0,4,2
1,misterio,papel,spa,normal,adulto,si,no,pesado,primera_persona,312.0,3,18
1,terror,papel,eng,normal,adulto,no,no,ligero,tercera_persona,213.0,4,18
1,ciencia_ficcion,papel,eng,largo,juvenil,no,si,pesado,primera_persona,394.0,3,18
1,romance,papel,eng,largo,adulto,si,no,intermedio,primera_persona,372.0,3,18
1,suspense,audiolibro,eng,largo,juvenil,si,no,intermedio,primera_persona,403.0,3,18
1,ciencia_ficcion,papel,spa,largo,adulto,si,si,intermedio,primera_persona,391.0,4,18
1,magia,ebook,eng,largo,adulto,no,no,ligero,primera_persona,291.0,4,22
1,misterio,ebook,cat,normal,adulto,no,si,ligero,primera_persona,83.0,4,22
1,humor,ebook,cat,normal,adulto,no,no,intermedio,tercera_persona,224.0,5,22
1,fantasia,papel,eng,normal,adulto,si,no,intermedio,primera_persona,42.0,3,25
1,ficcion_historica,papel,cat,corto,infantil,si,si,ligero,primera_persona,22.0,3,25
1,suspense,ebook,eng,largo,adulto,si,si,intermedio,tercera_persona,402.0,3,25
1,humor,ebook,eng,largo,juvenil,si,si,ligero,primera_persona,262.0,3,29
2,humor,papel,cat,largo,infantil,no,no,pesado,tercera_persona,33.0,3,1
2,magia,papel,spa,normal,juvenil,no,si,pesado,primera_persona,297.0,4,7
2,misterio,papel,spa,largo,juvenil,no,no,pesado,tercera_persona,325.0,4,7
2,romance,papel,spa,normal,infantil,no,no,ligero,primera_persona,171.0,4,8
2,misterio,papel,spa,corto,adulto,no,si,ligero,primera_persona,322.0,4,9
2,fantasia,papel,spa,corto,infantil,no,no,ligero,primera_persona,37.0,4,34
2,romance,ebook,spa,corto,adulto,no,si,intermedio,primera_persona,366.0,4,34
2,ficcion_historica,papel,spa,corto,juvenil,no,no,ligero,primera_persona,91.0,3,34
2,romance,papel,spa,largo,juvenil,no,si,ligero,primera_persona,372.0,2,34
2,romance,papel,spa,corto,juvenil,si,no,intermedio,primera_persona,70.0,3,77
2,romance,papel,spa,normal,juvenil,si,no,ligero,tercera_persona,341.0,3,78
2,suspense,papel,eng,corto,juvenil,no,no,intermedio,tercera_persona,311.0,3,82
2,romance,papel,spa,corto,juvenil,si,no,ligero,tercera_persona,363.0,4,83
2,romance,papel,spa,corto,juvenil,no,si,pesado,primera_persona,348.0,3,83
2,misterio,papel,spa,largo,juvenil,no,no,ligero,primera_persona,321.0,4,84
2,misterio,papel,spa,normal,juvenil,no,si,pesado,primera_persona,309.0,3,85
2,romance,papel,spa,corto,infantil,si,si,intermedio,tercera_persona,376.0,4,89
2,humor,papel,cat,corto,juvenil,no,no,ligero,primera_persona,271.0,4,89
2,terror,papel,cat,corto,juvenil,no,no,ligero,tercera_persona,25.0,4,89
2,misterio,papel,cat,normal,juvenil,si,no,pesado,tercera_persona,84.0,3,89
2,humor,papel,spa,corto,adulto,si,no,pesado,tercera_persona,231.0,3,89
2,fantasia,papel,spa,corto,infantil,no,no,intermedio,tercera_persona,36.0,4,89
2,magia,papel,spa,corto,juvenil,no,no,ligero,tercera_persona,295.0,3,89
2,romance,papel,spa,corto,juvenil,no,no,pesado,tercera_persona,373.0,4,89
2,misterio,papel,cat,corto,juvenil,si,no,intermedio,primera_persona,315.0,4,89
2,magia,papel,spa,largo,infantil,si,si,pesado,tercera_persona,290.0,4,89
2,romance,papel,spa,corto,juvenil,no,si,ligero,primera_persona,344.0,4,89
3,suspense,papel,spa,corto,adulto,si,si,intermedio,tercera_persona,408.0,5,0
3,romance,ebook,cat,largo,juvenil,no,no,intermedio,tercera_persona,366.0,3,0
3,ficcion_historica,papel,spa,corto,adulto,si,si,ligero,tercera_persona,125.0,3,0
3,romance,papel,spa,largo,juvenil,si,no,pesado,primera_persona,372.0,3,0
3,romance,papel,cat,largo,juvenil,no,si,ligero,primera_persona,357.0,4,0
3,humor,papel,spa,normal,adulto,no,si,intermedio,primera_persona,246.0,3,0
3,suspense,papel,spa,corto,adulto,no,no,ligero,primera_persona,381.0,4,4
3,suspense,papel,spa,normal,adulto,si,si,intermedio,primera_persona,199.0,5,4
3,fantasia,papel,spa,normal,adulto,no,si,ligero,tercera_persona,38.0,5,26
3,magia,papel,spa,normal,adulto,si,no,intermedio,tercera_persona,283.0,4,26
3,suspense,papel,spa,normal,juvenil,no,no,intermedio,primera_persona,35.0,3,26
3,ficcion_historica,papel,spa,corto,juvenil,si,si,pesado,tercera_persona,150.0,4,26
3,ciencia_ficcion,papel,spa,normal,adulto,si,si,pesado,tercera_persona,389.0,3,26
3,suspense,papel,spa,largo,juvenil,no,si,intermedio,primera_persona,411.0,2,26
3,humor,papel,spa,corto,adulto,no,si,ligero,primera_persona,26.0,4,26
3,suspense,papel,spa,largo,adulto,no,si,ligero,tercera_persona,402.0,4,26
3,humor,papel,spa,normal,juvenil,si,si,pesado,tercera_persona,226.0,3,29
3,suspense,papel,spa,corto,adulto,si,no,ligero,primera_persona,407.0,3,45
3,fantasia,papel,eng,normal,infantil,no,si,ligero,tercera_persona,44.0,4,45
3,suspense,papel,spa,corto,infantil,si,no,ligero,primera_persona,410.0,3,45
3,romance,papel,spa,normal,juvenil,si,si,intermedio,tercera_persona,374.0,4,47
3,terror,papel,spa,corto,adulto,no,no,pesado,tercera_persona,169.0,3,47
3,suspense,papel,spa,corto,juvenil,si,si,intermedio,tercera_persona,319.0,4,47
3,ficcion_historica,ebook,eng,normal,adulto,no,no,pesado,tercera_persona,156.0,3,55
3,fantasia,papel,spa,normal,adulto,no,si,ligero,primera_persona,4.0,3,57
3,humor,papel,spa,corto,juvenil,no,si,ligero,tercera_persona,251.0,5,61
3,ficcion_historica,papel,spa,largo,adulto,no,si,ligero,primera_persona,122.0,3,66
3,romance,papel,cat,normal,juvenil,no,si,intermedio,tercera_persona,70.0,3,67
3,fantasia,papel,spa,normal,adulto,no,si,intermedio,primera_persona,63.0,5,67
3,fantasia,papel,spa,corto,juvenil,no,no,pesado,tercera_persona,25.0,3,70
3,misterio,papel,spa,corto,adulto,no,si,intermedio,primera_persona,322.0,4,70
3,ciencia_ficcion,papel,spa,largo,adulto,si,no,intermedio,tercera_persona,390.0,3,75
3,magia,papel,spa,normal,juvenil,si,no,ligero,primera_persona,279.0,4,78
3,suspense,papel,spa,normal,adulto,si,no,intermedio,tercera_persona,326.0,4,79
3,ficcion_historica,papel,spa,corto,infantil,si,no,intermedio,primera_persona,111.0,4,79
3,humor,papel,spa,corto,adulto,no,si,ligero,tercera_persona,233.0,4,79
3,fantasia,papel,cat,largo,juvenil,si,no,ligero,primera_persona,76.0,3,79
3,misterio,papel,spa,normal,adulto,no,no,ligero,tercera_persona,307.0,4,79
3,suspense,papel,spa,normal,adulto,no,si,pesado,tercera_persona,339.0,3,81
3,suspense,papel,spa,corto,juvenil,si,no,ligero,tercera_persona,409.0,3,87
3,suspense,papel,spa,normal,adulto,si,no,pesado,primera_persona,412.0,3,87
4,ficcion_historica,papel,spa,normal,adulto,no,no,pesado,tercera_persona,156.0,4,0
4,romance,audiolibro,cat,corto,adulto,si,si,ligero,tercera_persona,363.0,4,0
4,suspense,ebook,eng,largo,juvenil,no,si,pesado,tercera_persona,411.0,3,0
4,romance,papel,eng,largo,adulto,no,no,intermedio,tercera_persona,372.0,2,2
4,suspense,ebook,spa,largo,infantil,si,no,ligero,tercera_persona,402.0,4,3
4,humor,papel,eng,corto,infantil,no,si,pesado,tercera_persona,277.0,4,4
4,ficcion_historica,ebook,eng,normal,infantil,si,si,ligero,primera_persona,110.0,2,6
4,ficcion_historica,ebook,spa,normal,juvenil,no,no,ligero,tercera_persona,85.0,3,6
4,suspense,papel,cat,normal,adulto,si,no,ligero,tercera_persona,83.0,3,6
4,humor,ebook,cat,corto,adulto,si,si,pesado,primera_persona,236.0,3,6
4,fantasia,ebook,cat,corto,adulto,si,si,ligero,primera_persona,20.0,3,6
4,suspense,ebook,cat,largo,adulto,no,si,pesado,primera_persona,408.0,4,7
4,fantasia,papel,cat,normal,adulto,si,si,ligero,primera_persona,42.0,5,11
4,humor,ebook,spa,normal,juvenil,si,si,intermedio,primera_persona,226.0,3,20
4,romance,papel,spa,normal,juvenil,no,si,pesado,tercera_persona,344.0,4,20
4,ficcion_historica,papel,spa,largo,juvenil,si,no,ligero,tercera_persona,113.0,4,20
4,misterio,ebook,eng,largo,adulto,no,si,ligero,primera_persona,330.0,3,20
4,ciencia_ficcion,ebook,eng,largo,adulto,si,si,intermedio,tercera_persona,391.0,4,22
4,misterio,papel,eng,largo,juvenil,no,no,ligero,primera_persona,310.0,4,29
4,suspense,papel,spa,largo,juvenil,si,no,pesado,tercera_persona,409.0,3,43
4,suspense,audiolibro,cat,corto,infantil,no,si,pesado,primera_persona,410.0,3,45
4,fantasia,ebook,eng,largo,adulto,no,si,ligero,primera_persona,67.0,3,48
4,ficcion_historica,ebook,eng,largo,juvenil,si,si,pesado,tercera_persona,108.0,3,48
4,misterio,ebook,eng,normal,juvenil,no,no,ligero,primera_persona,337.0,4,48
4,ficcion_historica,papel,eng,normal,juvenil,no,si,ligero,primera_persona,94.0,4,48
4,humor,ebook,cat,normal,infantil,si,si,ligero,tercera_persona,33.0,4,48
4,ficcion_historica,papel,spa,corto,adulto,no,si,ligero,tercera_persona,118.0,3,48
4,romance,ebook,spa,largo,adulto,si,si,intermedio,tercera_persona,357.0,3,48
